iso,pays,annee,perte_biomasse_Mg,perte_surface_ha,cause
BRA,Bresil,2007,289763.15868968546,3663.3488145822566,Feu de foret
BRA,Bresil,2003,210607.3262073996,2568.432250849505,Feu de foret
BRA,Bresil,2014,266287.76356143004,4180.263123752253,Feu de foret
BRA,Bresil,2008,248853.84300980114,3414.180505728217,Feu de foret
BRA,Bresil,2018,372624.0856762385,3703.4636521305797,Feu de foret
BRA,Bresil,2011,135530.70584731235,1839.4214484234494,Feu de foret
BRA,Bresil,2019,351966.14096254914,2678.5558002934467,Feu de foret
BRA,Bresil,2009,283115.45085726166,3808.9412380537983,Feu de foret
BRA,Bresil,2015,114675.63663140853,1636.999776240329,Feu de foret
BRA,Bresil,2017,469329.3920404167,3596.3595692728018,Urbanisation
BRA,Bresil,2016,373811.16437313444,2861.500009400481,Urbanisation
BRA,Bresil,2014,380469.54274697235,3194.5860544837533,Urbanisation
BRA,Bresil,2012,384094.3337236294,3160.4175892544067,Urbanisation
BRA,Bresil,2018,251488.27687220008,1896.9245983945038,Urbanisation
BRA,Bresil,2013,355146.98846191453,3018.546638530987,Urbanisation
BRA,Bresil,2015,220651.98832444486,1727.0061718966683,Urbanisation
BRA,Bresil,2007,397753.7278075021,2972.3250516793387,Urbanisation
BRA,Bresil,2004,217900.6642883286,1640.3602859921025,Urbanisation
BRA,Bresil,2008,370173.7761867107,2662.857133943081,Urbanisation
BRA,Bresil,2002,346102.2803895181,2384.3916209631075,Urbanisation
BRA,Bresil,2011,228088.90728479586,1743.0885330834117,Urbanisation
BRA,Bresil,2009,296637.7851205084,2133.710275193481,Urbanisation
BRA,Bresil,2019,227009.05216367057,1736.4712260448641,Urbanisation
BRA,Bresil,2001,247686.37428863414,1809.124773711124,Urbanisation
BRA,Bresil,2006,228210.21038096526,1762.3856040656146,Urbanisation
BRA,Bresil,2003,253603.27266407985,1895.844814039737,Urbanisation
BRA,Bresil,2010,364392.0849136149,2772.806778323672,Urbanisation
BRA,Bresil,2005,216134.7917856463,1598.66541362234,Urbanisation
IDN,Indonesie,2014,382895591.3259169,1745106.3186890283,Deforestation due aux produits de base
IDN,Indonesie,2012,475328846.90625346,2119856.7685635304,Deforestation due aux produits de base
IDN,Indonesie,2016,464499642.51684415,2220872.278440317,Deforestation due aux produits de base
IDN,Indonesie,2005,253965814.8352398,1107838.848934203,Deforestation due aux produits de base
IDN,Indonesie,2015,350223028.07372344,1583867.468767392,Deforestation due aux produits de base
IDN,Indonesie,2009,404814496.5993727,1815043.4394269371,Deforestation due aux produits de base
IDN,Indonesie,2004,274906777.9729554,1189991.3801851561,Deforestation due aux produits de base
IDN,Indonesie,2010,278129430.33911306,1211864.270217514,Deforestation due aux produits de base
IDN,Indonesie,2011,332500860.8644502,1442166.5224441043,Deforestation due aux produits de base
IDN,Indonesie,2017,249419848.91029948,1163414.7039923645,Deforestation due aux produits de base
IDN,Indonesie,2002,180747096.96345082,771180.0302766146,Deforestation due aux produits de base
IDN,Indonesie,2013,248204376.7889784,1079154.8742256938,Deforestation due aux produits de base
IDN,Indonesie,2007,283041936.0560465,1308836.7927564685,Deforestation due aux produits de base
IDN,Indonesie,2006,297349362.0142071,1331950.0152471585,Deforestation due aux produits de base
IDN,Indonesie,2018,233767857.08097532,1093187.2801679005,Deforestation due aux produits de base
IDN,Indonesie,2019,219409409.3652033,1043764.0915114103,Deforestation due aux produits de base
IDN,Indonesie,2001,159887430.41353795,666679.5635366414,Deforestation due aux produits de base
IDN,Indonesie,2008,293735127.1438427,1310416.0771193402,Deforestation due aux produits de base
IDN,Indonesie,2003,116652913.83856165,493982.2408034608,Deforestation due aux produits de base
IDN,Indonesie,2012,17208857.469103243,82417.3943944202,Foresterie
IDN,Indonesie,2014,18064384.092895605,88986.91211641343,Foresterie
IDN,Indonesie,2016,21032532.638893545,105026.58519488873,Foresterie
IDN,Indonesie,2009,17828984.794152863,85290.13278693009,Foresterie
IDN,Indonesie,2015,19391772.52054525,90581.91386041263,Foresterie
IDN,Indonesie,2002,10846173.705189262,45513.555493335254,Foresterie
IDN,Indonesie,2017,15435228.877041997,76346.08168559585,Foresterie
IDN,Indonesie,2004,12894083.507667916,57348.705474890405,Foresterie
IDN,Indonesie,2006,13236505.403328273,60994.52989453882,Foresterie
IDN,Indonesie,2005,8851568.597600669,40980.27759025489,Foresterie
IDN,Indonesie,2019,15593952.8313961,77712.44851280181,Foresterie
IDN,Indonesie,2001,9805048.375077065,41312.592369312544,Foresterie
IDN,Indonesie,2011,12552976.968628556,60611.16922619584,Foresterie
IDN,Indonesie,2010,8767746.821315603,41427.492581984094,Foresterie
IDN,Indonesie,2007,8939389.823415413,42177.34371811221,Foresterie
IDN,Indonesie,2018,14416398.369734744,70704.88485207401,Foresterie
IDN,Indonesie,2008,9945169.384703355,46072.97284927666,Foresterie
IDN,Indonesie,2013,7273441.256324529,34858.2163600912,Foresterie
IDN,Indonesie,2003,6446392.002191345,25872.693930828354,Foresterie
IDN,Indonesie,2012,2013392.6688753976,6922.048278606309,Autres
IDN,Indonesie,2009,1292583.1248966185,4909.84720122963,Autres
IDN,Indonesie,2016,1945205.5017707306,7357.409480327082,Autres
IDN,Indonesie,2014,1686765.0729711326,6173.52531317821,Autres
IDN,Indonesie,2004,950385.3290620594,3655.443124704296,Autres
IDN,Indonesie,2010,975272.1986911208,3499.924358613047,Autres
IDN,Indonesie,2002,966054.400390534,3643.256603852283,Autres
IDN,Indonesie,2006,1011050.9612719938,3757.4428271639495,Autres
IDN,Indonesie,2017,1529032.5025114925,5638.471278730289,Autres
IDN,Indonesie,2011,1076115.778284042,4147.961244546972,Autres
IDN,Indonesie,2007,828843.085538248,3071.52443616916,Autres
IDN,Indonesie,2015,1401124.157489408,5344.638489730616,Autres
IDN,Indonesie,2001,913939.405296933,3501.8833080524523,Autres
IDN,Indonesie,2005,761162.8751769759,2922.1579852537175,Autres
IDN,Indonesie,2008,733916.0234922408,2779.212364445858,Autres
IDN,Indonesie,2013,777160.0757765776,2719.5793940249832,Autres
IDN,Indonesie,2003,563050.4339833058,2155.7302042576152,Autres
IDN,Indonesie,2018,1277824.743446132,4510.155616864813,Autres
IDN,Indonesie,2019,1425318.865799073,5037.174493465319,Autres
IDN,Indonesie,2016,19655897.852093175,85909.87973643465,Agriculture
IDN,Indonesie,2012,12410589.903542655,46808.1098723512,Agriculture
IDN,Indonesie,2015,14650291.285301786,64720.099188772394,Agriculture
IDN,Indonesie,2009,8997883.519197602,36066.55388115194,Agriculture
IDN,Indonesie,2006,8545010.682816956,33151.406690363525,Agriculture
IDN,Indonesie,2002,8615766.945103217,32722.8038675648,Agriculture
IDN,Indonesie,2004,9314987.77897638,35637.52643558191,Agriculture
IDN,Indonesie,2014,12645842.228895599,51151.60840570583,Agriculture
IDN,Indonesie,2001,7869922.018402581,29119.723106430465,Agriculture
IDN,Indonesie,2017,11895742.897542333,51554.94178323806,Agriculture
IDN,Indonesie,2008,9223941.556773938,34375.86149375009,Agriculture
IDN,Indonesie,2007,8089988.163093761,30452.715467069793,Agriculture
IDN,Indonesie,2005,7593243.00867294,28497.230259683358,Agriculture
IDN,Indonesie,2011,8199836.945751802,33805.25990673055,Agriculture
IDN,Indonesie,2003,5663958.159946904,21460.12486635312,Agriculture
IDN,Indonesie,2018,11593365.560419329,47055.60160773456,Agriculture
IDN,Indonesie,2010,5256192.800717207,19416.495475089825,Agriculture
IDN,Indonesie,2019,11355509.400678774,46488.653781480025,Agriculture
IDN,Indonesie,2013,5496101.508533338,21243.625165417878,Agriculture
IDN,Indonesie,2009,804386.2798408476,3653.199155693283,Urbanisation
IDN,Indonesie,2012,900217.263679642,4256.183495000394,Urbanisation
IDN,Indonesie,2010,695337.1613650667,3123.79191762523,Urbanisation
IDN,Indonesie,2014,516147.69078400114,2942.362704455558,Urbanisation
IDN,Indonesie,2004,560304.4883185494,2409.6018351338384,Urbanisation
IDN,Indonesie,2007,709875.8897047965,3086.91610910928,Urbanisation
IDN,Indonesie,2002,551457.9970480724,2216.2167923685856,Urbanisation
IDN,Indonesie,2001,936687.8799563,3474.2267894140437,Urbanisation
IDN,Indonesie,2011,636478.6132520293,2898.009678996477,Urbanisation
IDN,Indonesie,2016,552596.1815224579,2905.3838202644465,Urbanisation
IDN,Indonesie,2017,686388.783368231,3765.1771638095524,Urbanisation
IDN,Indonesie,2005,508295.5831419275,2203.269731192501,Urbanisation
IDN,Indonesie,2006,710049.4837000404,3296.8395316988776,Urbanisation
IDN,Indonesie,2008,592612.0679453682,2607.165965591058,Urbanisation
IDN,Indonesie,2018,596874.2445117405,3274.5938106594517,Urbanisation
IDN,Indonesie,2019,674068.0882210194,3881.775403143914,Urbanisation
IDN,Indonesie,2013,241431.31036451683,1322.3736215052843,Urbanisation
IDN,Indonesie,2003,328935.3965951727,1339.5068365556856,Urbanisation
IDN,Indonesie,2015,334055.28987674334,1956.4142966890997,Urbanisation
NGA,Nigeria,2013,4363599.309275681,34987.81060167997,Agriculture
NGA,Nigeria,2016,7764692.770072087,62876.56963929923,Agriculture
NGA,Nigeria,2017,17523388.73495027,144950.73111645272,Agriculture
NGA,Nigeria,2005,1569052.644486061,11268.658183243473,Agriculture
NGA,Nigeria,2011,5963303.929336723,45667.83982272169,Agriculture
NGA,Nigeria,2014,7118004.083321071,57365.00566509439,Agriculture
NGA,Nigeria,2018,12605963.508448776,101802.36787114172,Agriculture
NGA,Nigeria,2010,3868852.1338797356,27593.254121883292,Agriculture
NGA,Nigeria,2002,3829115.20684158,26710.224986397185,Agriculture
NGA,Nigeria,2008,2997807.2004144,21629.23815075392,Agriculture
NGA,Nigeria,2015,4088085.5194550985,33931.93886825234,Agriculture
NGA,Nigeria,2019,9610356.969536081,77184.85973195817,Agriculture
NGA,Nigeria,2009,2926634.3026228417,21480.65884928013,Agriculture
NGA,Nigeria,2003,1500437.5753355904,11131.667042903771,Agriculture
NGA,Nigeria,2012,3812840.4160255236,28288.1886502491,Agriculture
NGA,Nigeria,2007,2487433.5310539827,18107.356528765093,Agriculture
NGA,Nigeria,2006,3001649.9187292694,22195.71397408931,Agriculture
NGA,Nigeria,2001,4389000.902627369,31026.92775316427,Agriculture
NGA,Nigeria,2004,1823227.7539787204,13000.785578526455,Agriculture
NGA,Nigeria,2011,35213.125005548354,205.43454252594256,Autres
NGA,Nigeria,2009,36340.847407900226,220.33213472270685,Autres
NGA,Nigeria,2005,44961.67519158809,239.5065933211935,Autres
NGA,Nigeria,2013,49300.485034149235,297.52297086191606,Autres
NGA,Nigeria,2010,43403.675658175554,245.03043667065944,Autres
NGA,Nigeria,2014,57376.4410128865,326.60084186788606,Autres
NGA,Nigeria,2007,23165.573762974625,137.31746746546324,Autres
NGA,Nigeria,2008,32078.657956374067,185.56706762683166,Autres
NGA,Nigeria,2012,23153.236676612196,151.07821046238843,Autres
NGA,Nigeria,2016,43947.71154563842,241.10369261298592,Autres
NGA,Nigeria,2017,68764.96827669471,419.4483595897432,Autres
NGA,Nigeria,2004,22628.707390149157,134.7447741594527,Autres
NGA,Nigeria,2002,24894.73441245638,160.4510217036671,Autres
NGA,Nigeria,2006,26651.44133609204,158.4808467512688,Autres
NGA,Nigeria,2001,45168.92703965078,273.8557878447263,Autres
NGA,Nigeria,2003,21712.26271677013,149.31219566904002,Autres
NGA,Nigeria,2018,48344.78229491176,281.09678627379037,Autres
NGA,Nigeria,2019,28679.143040058243,182.6020655223547,Autres
NGA,Nigeria,2015,12408.453768936135,80.84195026498557,Autres
NGA,Nigeria,2014,650622.3619810059,5993.450583506392,Urbanisation
NGA,Nigeria,2012,596087.1539990038,4959.604064005692,Urbanisation
NGA,Nigeria,2016,592073.660220295,5265.981354170393,Urbanisation
NGA,Nigeria,2017,1917029.103747378,17229.10273781528,Urbanisation
NGA,Nigeria,2015,488390.42974113114,4283.963415586848,Urbanisation
NGA,Nigeria,2005,149720.30035343615,1223.0897431580966,Urbanisation
NGA,Nigeria,2006,283681.9814131733,2248.219595271877,Urbanisation
NGA,Nigeria,2008,534929.4276163996,4307.013960808673,Urbanisation
NGA,Nigeria,2010,433953.80639705755,3513.1149176354775,Urbanisation
NGA,Nigeria,2011,631970.5381263996,5014.14286062582,Urbanisation
NGA,Nigeria,2013,546781.9311659496,4963.782178011992,Urbanisation
NGA,Nigeria,2007,611502.9952446682,4928.34983230168,Urbanisation
NGA,Nigeria,2018,1334601.575002985,11948.73013152698,Urbanisation
NGA,Nigeria,2019,767554.0372578972,6910.161200395977,Urbanisation
NGA,Nigeria,2009,342524.18522100395,2846.886776997133,Urbanisation
NGA,Nigeria,2001,1186479.402847157,9760.67045692388,Urbanisation
NGA,Nigeria,2003,191663.15250662426,1586.614398663688,Urbanisation
NGA,Nigeria,2004,111960.43884920473,900.5066478614724,Urbanisation
NGA,Nigeria,2002,336379.48033229954,2786.980074178802,Urbanisation
NGA,Nigeria,2005,61209.464613816424,426.27290432847013,Deforestation due aux produits de base
NGA,Nigeria,2002,336439.3180460663,2191.4441944401888,Deforestation due aux produits de base
NGA,Nigeria,2011,414050.91573950124,2707.3148546250372,Deforestation due aux produits de base
NGA,Nigeria,2017,907566.9908540262,7589.654934883095,Deforestation due aux produits de base
NGA,Nigeria,2001,331203.76426795236,2040.2809600343903,Deforestation due aux produits de base
NGA,Nigeria,2006,223326.68845989602,1469.0116181105816,Deforestation due aux produits de base
NGA,Nigeria,2008,182816.1487147984,1239.2514865240921,Deforestation due aux produits de base
NGA,Nigeria,2009,91827.58529048503,645.2726631846198,Deforestation due aux produits de base
NGA,Nigeria,2010,186549.64510512492,1252.5378668038877,Deforestation due aux produits de base
NGA,Nigeria,2018,647687.9042192143,5346.548176977178,Deforestation due aux produits de base
NGA,Nigeria,2019,303400.2376653024,2495.124413525481,Deforestation due aux produits de base
NGA,Nigeria,2007,197528.14743792903,1307.1208077328633,Deforestation due aux produits de base
NGA,Nigeria,2016,381947.98234355747,3273.2838008393755,Deforestation due aux produits de base
NGA,Nigeria,2004,87689.35450826873,552.310081312379,Deforestation due aux produits de base
NGA,Nigeria,2012,179869.11269474681,1234.2523122329012,Deforestation due aux produits de base
NGA,Nigeria,2014,515430.8860435851,4192.476809817545,Deforestation due aux produits de base
NGA,Nigeria,2013,249765.58897728115,2030.4261083965723,Deforestation due aux produits de base
NGA,Nigeria,2003,70228.9193524596,461.2528904686485,Deforestation due aux produits de base
NGA,Nigeria,2015,282435.6381237011,2441.955921617061,Deforestation due aux produits de base
NGA,Nigeria,2017,11047.33556056374,71.25222610126512,Foresterie
NGA,Nigeria,2018,3666.2925120007803,28.899902943290655,Foresterie
NGA,Nigeria,2013,870.5407801285367,6.577603928714004,Foresterie
NGA,Nigeria,2019,1499.004075037686,11.69834571015908,Foresterie
NGA,Nigeria,2005,2295.1017780439956,17.20511881557382,Foresterie
NGA,Nigeria,2007,4180.840998140563,31.57886128579989,Foresterie
NGA,Nigeria,2009,4414.187927903245,34.86560392745512,Foresterie
NGA,Nigeria,2011,7599.125556005831,60.02102949295431,Foresterie
NGA,Nigeria,2014,1194.6740366924369,8.948561249254396,Foresterie
NGA,Nigeria,2001,1666.9963826473318,11.469914008446,Foresterie
NGA,Nigeria,2006,4114.300493349077,29.664704940505743,Foresterie
NGA,Nigeria,2008,3756.2504737266836,27.984309134223437,Foresterie
NGA,Nigeria,2012,2484.755781874107,18.886968089522533,Foresterie
NGA,Nigeria,2004,1257.1364484854266,9.098630786041335,Foresterie
NGA,Nigeria,2010,1621.5432746355816,11.928579423209154,Foresterie
NGA,Nigeria,2015,1109.8336172512322,9.863096321667484,Foresterie
NGA,Nigeria,2016,1461.5133272615412,13.30205140139216,Foresterie
NGA,Nigeria,2003,424.56636096113175,2.905369016988833,Foresterie
NGA,Nigeria,2002,297.9582269167795,2.2154197623876346,Foresterie
NGA,Nigeria,2013,159782.27576239762,1148.7779337423049,Feu de foret
NGA,Nigeria,2014,95855.16892748217,750.86881852136,Feu de foret
NGA,Nigeria,2018,54775.221200483524,414.8139194792539,Feu de foret
NGA,Nigeria,2016,66103.75853151394,519.1464279006593,Feu de foret
NGA,Nigeria,2001,44005.975459382404,273.2897484920888,Feu de foret
NGA,Nigeria,2002,79196.43953774497,495.3943674738679,Feu de foret
NGA,Nigeria,2003,7571.4188610336805,48.87690909597265,Feu de foret
NGA,Nigeria,2005,16710.905628514607,105.16655733830038,Feu de foret
NGA,Nigeria,2006,10298.687667692151,66.46721107539912,Feu de foret
NGA,Nigeria,2007,9602.731454663151,60.80668657466579,Feu de foret
NGA,Nigeria,2010,25104.665466809416,166.19832079787963,Feu de foret
NGA,Nigeria,2011,36825.637268046354,236.73553103307623,Feu de foret
NGA,Nigeria,2015,22924.881497267575,178.98285806862162,Feu de foret
NGA,Nigeria,2008,12317.37659524231,81.60376127292227,Feu de foret
NGA,Nigeria,2012,48334.72416444175,318.9096328713659,Feu de foret
NGA,Nigeria,2017,98992.94086692453,785.2572487411769,Feu de foret
NGA,Nigeria,2019,14915.797197433294,110.37327857319518,Feu de foret
NGA,Nigeria,2004,7091.217512658062,46.50223915219968,Feu de foret
NGA,Nigeria,2009,9761.148690618455,61.80178919222935,Feu de foret
MMR,Myanmar,2012,14404043.335052792,66607.55028158681,Foresterie
MMR,Myanmar,2009,14422246.703305628,66815.2668261028,Foresterie
MMR,Myanmar,2007,10102432.695747428,46161.88269254856,Foresterie
MMR,Myanmar,2010,11179461.311618555,51819.585945019324,Foresterie
MMR,Myanmar,2013,17631961.668617185,82722.3456155832,Foresterie
MMR,Myanmar,2004,8165298.435462737,36610.48926299081,Foresterie
MMR,Myanmar,2014,22604766.055215817,107371.3582260757,Foresterie
MMR,Myanmar,2008,8197364.930153688,38157.2794784728,Foresterie
MMR,Myanmar,2006,8455704.518017821,39160.52831632296,Foresterie
MMR,Myanmar,2011,8654343.586689081,39890.758939445266,Foresterie
MMR,Myanmar,2005,6803624.19380176,30288.039858255353,Foresterie
MMR,Myanmar,2017,26703966.625431627,123233.48842374494,Foresterie
MMR,Myanmar,2002,5151326.001416717,23540.280213644863,Foresterie
MMR,Myanmar,2016,28954387.50652005,131740.73508726357,Foresterie
MMR,Myanmar,2001,3773616.3305094033,16865.941845508416,Foresterie
MMR,Myanmar,2003,5796580.931940131,26132.35106723034,Foresterie
MMR,Myanmar,2015,22459748.895992324,103164.73857081136,Foresterie
MMR,Myanmar,2019,22389757.595053524,104785.12566815017,Foresterie
MMR,Myanmar,2018,20395820.149432622,95624.63747309503,Foresterie
MMR,Myanmar,2004,6297394.7507474255,28773.118811035183,Agriculture
MMR,Myanmar,2012,13323618.953639051,63453.39377395132,Agriculture
MMR,Myanmar,2010,8873538.187539667,41348.33228293131,Agriculture
MMR,Myanmar,2009,12583363.245456465,58598.80209175969,Agriculture
MMR,Myanmar,2007,8030154.9817860285,37459.81238496807,Agriculture
MMR,Myanmar,2008,6920323.841230189,32475.700605353908,Agriculture
MMR,Myanmar,2011,7410502.067096381,34788.52124770323,Agriculture
MMR,Myanmar,2013,13308379.59741672,64676.43422589247,Agriculture
MMR,Myanmar,2014,17907680.73782587,88278.91634100658,Agriculture
MMR,Myanmar,2003,4798454.981052464,21642.562588130822,Agriculture
MMR,Myanmar,2005,4957074.936212222,22245.93505097346,Agriculture
MMR,Myanmar,2002,3996830.5766953225,18102.744308351663,Agriculture
MMR,Myanmar,2006,8112413.428376909,38152.04541309049,Agriculture
MMR,Myanmar,2016,19798353.62074716,92196.502297553,Agriculture
MMR,Myanmar,2017,19325064.480466295,90408.14702053521,Agriculture
MMR,Myanmar,2001,2762972.7417116584,12179.51728193699,Agriculture
MMR,Myanmar,2015,15278714.407000525,72328.80292688744,Agriculture
MMR,Myanmar,2018,14669703.692655956,69690.84420465428,Agriculture
MMR,Myanmar,2019,17003753.48382365,80642.25035864922,Agriculture
MMR,Myanmar,2012,19473571.300166346,92573.9002006907,Deforestation due aux produits de base
MMR,Myanmar,2007,13018467.857036743,61984.55270513217,Deforestation due aux produits de base
MMR,Myanmar,2009,18780618.001946494,89337.37998334321,Deforestation due aux produits de base
MMR,Myanmar,2010,15917695.183434077,75330.26018095143,Deforestation due aux produits de base
MMR,Myanmar,2004,7696797.091484828,35735.18354458309,Deforestation due aux produits de base
MMR,Myanmar,2011,12686172.364251016,59658.49200864433,Deforestation due aux produits de base
MMR,Myanmar,2008,9847608.297929944,47401.69293796518,Deforestation due aux produits de base
MMR,Myanmar,2006,10168136.899622496,49073.76249921064,Deforestation due aux produits de base
MMR,Myanmar,2005,8471643.493088815,38396.15036194501,Deforestation due aux produits de base
MMR,Myanmar,2014,28204241.758344427,133979.2462481131,Deforestation due aux produits de base
MMR,Myanmar,2013,21143686.694500923,98920.30703628459,Deforestation due aux produits de base
MMR,Myanmar,2003,6295163.214582513,28584.135471734873,Deforestation due aux produits de base
MMR,Myanmar,2002,5193184.197037965,23871.33520793756,Deforestation due aux produits de base
MMR,Myanmar,2016,29621982.340366304,136737.3748050089,Deforestation due aux produits de base
MMR,Myanmar,2017,27059774.388321698,126329.73576174857,Deforestation due aux produits de base
MMR,Myanmar,2018,23503136.294957567,112143.18717872095,Deforestation due aux produits de base
MMR,Myanmar,2019,25928231.21571895,122707.74838729843,Deforestation due aux produits de base
MMR,Myanmar,2015,25315657.53880419,116507.41983263263,Deforestation due aux produits de base
MMR,Myanmar,2001,3293688.3138995506,15232.44770060268,Deforestation due aux produits de base
MMR,Myanmar,2012,533176.2166114547,2123.6652376545444,Autres
MMR,Myanmar,2013,331778.4206231978,1526.4905869069921,Autres
MMR,Myanmar,2009,289987.8868372481,1252.4004490064888,Autres
